Episode,Return
1,30.0
2,17.0
3,32.0
4,10.0
5,21.0
6,31.0
7,19.0
8,17.0
9,32.0
10,20.0
11,24.0
12,14.0
13,41.0
14,13.0
15,18.0
16,21.0
17,21.0
18,19.0
19,23.0
20,21.0
21,31.0
22,30.0
23,40.0
24,22.0
25,19.0
26,15.0
27,17.0
28,57.0
29,46.0
30,20.0
31,39.0
32,12.0
33,34.0
34,26.0
35,28.0
36,56.0
37,17.0
38,14.0
39,24.0
40,18.0
41,20.0
42,81.0
43,19.0
44,15.0
45,19.0
46,21.0
47,15.0
48,19.0
49,15.0
50,20.0
51,34.0
52,14.0
53,18.0
54,28.0
55,19.0
56,13.0
57,40.0
58,27.0
59,15.0
60,61.0
61,28.0
62,16.0
63,15.0
64,24.0
65,15.0
66,9.0
67,17.0
68,11.0
69,18.0
70,17.0
71,17.0
72,14.0
73,30.0
74,28.0
75,17.0
76,35.0
77,24.0
78,13.0
79,10.0
80,12.0
81,17.0
82,15.0
83,24.0
84,19.0
85,11.0
86,11.0
87,9.0
88,14.0
89,14.0
90,17.0
91,40.0
92,29.0
93,28.0
94,19.0
95,53.0
96,45.0
97,33.0
98,18.0
99,16.0
100,36.0
101,34.0
102,12.0
103,36.0
104,33.0
105,13.0
106,13.0
107,73.0
108,28.0
109,61.0
110,28.0
111,34.0
112,80.0
113,48.0
114,37.0
115,26.0
116,23.0
117,40.0
118,37.0
119,20.0
120,53.0
121,12.0
122,57.0
123,23.0
124,21.0
125,50.0
126,68.0
127,31.0
128,14.0
129,52.0
130,10.0
131,54.0
132,32.0
133,35.0
134,17.0
135,38.0
136,30.0
137,26.0
138,51.0
139,33.0
140,82.0
141,86.0
142,61.0
143,47.0
144,32.0
145,88.0
146,112.0
147,148.0
148,67.0
149,16.0
150,84.0
151,176.0
152,68.0
153,156.0
154,61.0
155,84.0
156,216.0
157,140.0
158,141.0
159,223.0
160,151.0
161,118.0
162,159.0
163,160.0
164,131.0
165,154.0
166,150.0
167,113.0
168,172.0
169,102.0
170,158.0
171,117.0
172,279.0
173,44.0
174,274.0
175,147.0
176,57.0
177,142.0
178,167.0
179,183.0
180,145.0
181,111.0
182,201.0
183,116.0
184,126.0
185,106.0
186,120.0
187,103.0
188,112.0
189,27.0
190,119.0
191,121.0
192,117.0
193,108.0
194,154.0
195,23.0
196,109.0
197,111.0
198,110.0
199,108.0
200,107.0
201,114.0
202,102.0
203,122.0
204,106.0
205,104.0
206,111.0
207,104.0
208,102.0
209,106.0
210,111.0
211,110.0
212,110.0
213,115.0
214,111.0
215,107.0
216,103.0
217,132.0
218,102.0
219,103.0
220,108.0
221,112.0
222,109.0
223,106.0
224,111.0
225,104.0
226,110.0
227,109.0
228,110.0
229,103.0
230,106.0
231,103.0
232,102.0
233,101.0
234,102.0
235,101.0
236,110.0
237,106.0
238,112.0
239,108.0
240,107.0
241,103.0
242,104.0
243,110.0
244,100.0
245,107.0
246,118.0
247,113.0
248,106.0
249,107.0
250,110.0
251,106.0
252,107.0
253,110.0
254,101.0
255,108.0
256,100.0
257,106.0
258,111.0
259,108.0
260,121.0
261,118.0
262,116.0
263,129.0
264,117.0
265,112.0
266,110.0
267,116.0
268,111.0
269,108.0
270,109.0
271,107.0
272,110.0
273,110.0
274,114.0
275,111.0
276,114.0
277,108.0
278,118.0
279,107.0
280,114.0
281,110.0
282,123.0
283,132.0
284,129.0
285,128.0
286,133.0
287,123.0
288,131.0
289,126.0
290,147.0
291,132.0
292,133.0
293,138.0
294,128.0
295,129.0
296,127.0
297,128.0
298,122.0
299,130.0
300,128.0
301,126.0
302,127.0
303,128.0
304,125.0
305,132.0
306,119.0
307,128.0
308,134.0
309,132.0
310,130.0
311,126.0
312,126.0
313,117.0
314,115.0
315,125.0
316,120.0
317,116.0
318,120.0
319,126.0
320,120.0
321,122.0
322,122.0
323,119.0
324,118.0
325,116.0
326,114.0
327,115.0
328,114.0
329,116.0
330,117.0
331,116.0
332,112.0
333,116.0
334,120.0
335,130.0
336,131.0
337,126.0
338,132.0
339,144.0
340,139.0
341,146.0
342,135.0
343,157.0
344,151.0
345,153.0
346,262.0
347,198.0
348,180.0
349,191.0
350,174.0
351,170.0
352,180.0
353,269.0
354,251.0
355,184.0
356,159.0
357,155.0
358,190.0
359,203.0
360,182.0
361,445.0
362,373.0
363,169.0
364,128.0
365,151.0
366,278.0
367,383.0
368,119.0
369,149.0
370,111.0
371,98.0
372,130.0
373,101.0
374,128.0
375,150.0
376,106.0
377,122.0
378,112.0
379,106.0
380,106.0
381,103.0
382,217.0
383,10.0
384,114.0
385,110.0
386,119.0
387,118.0
388,106.0
389,106.0
390,130.0
391,115.0
392,149.0
393,135.0
394,307.0
395,154.0
396,134.0
397,134.0
398,145.0
399,162.0
400,121.0
401,142.0
402,125.0
403,151.0
404,129.0
405,133.0
406,133.0
407,114.0
408,130.0
409,129.0
410,141.0
411,143.0
412,132.0
413,257.0
414,211.0
415,237.0
416,241.0
417,223.0
418,186.0
419,153.0
420,261.0
421,135.0
422,114.0
423,161.0
424,114.0
425,140.0
426,189.0
427,150.0
428,116.0
429,109.0
430,107.0
431,115.0
432,108.0
433,114.0
434,135.0
435,111.0
436,108.0
437,100.0
438,115.0
439,121.0
440,102.0
441,107.0
442,109.0
443,114.0
444,111.0
445,120.0
446,103.0
447,113.0
448,115.0
449,137.0
450,106.0
451,122.0
452,107.0
453,111.0
454,108.0
455,150.0
456,122.0
457,132.0
458,167.0
459,134.0
460,132.0
461,133.0
462,137.0
463,116.0
464,149.0
465,159.0
466,122.0
467,128.0
468,132.0
469,131.0
470,110.0
471,135.0
472,119.0
473,107.0
474,124.0
475,121.0
476,123.0
477,116.0
478,110.0
479,104.0
480,115.0
481,203.0
482,478.0
483,173.0
484,198.0
485,500.0
486,500.0
487,190.0
488,206.0
489,186.0
490,164.0
491,171.0
492,170.0
493,183.0
494,199.0
495,184.0
496,179.0
497,153.0
498,500.0
499,150.0
500,148.0
501,143.0
502,158.0
503,173.0
504,145.0
505,173.0
506,185.0
507,173.0
508,220.0
509,179.0
510,500.0
511,244.0
512,147.0
513,245.0
514,154.0
515,173.0
516,148.0
517,150.0
518,174.0
519,145.0
520,500.0
521,500.0
522,500.0
523,500.0
524,500.0
525,500.0
526,500.0
527,500.0
528,500.0
529,500.0
530,500.0
531,451.0
532,500.0
533,500.0
534,500.0
535,188.0
536,500.0
537,261.0
538,362.0
539,235.0
540,282.0
541,500.0
542,500.0
543,500.0
544,500.0
545,417.0
546,500.0
547,500.0
548,500.0
549,500.0
550,500.0
551,500.0
552,500.0
553,500.0
554,500.0
555,500.0
556,500.0
557,265.0
558,500.0
559,500.0
560,500.0
561,500.0
562,500.0
563,500.0
564,500.0
565,500.0
566,500.0
567,500.0
568,500.0
569,500.0
570,500.0
571,413.0
572,500.0
573,500.0
574,231.0
575,183.0
576,161.0
577,228.0
578,178.0
579,205.0
580,148.0
581,145.0
582,134.0
583,140.0
584,102.0
585,99.0
586,107.0
587,106.0
588,99.0
589,108.0
590,112.0
591,114.0
592,131.0
593,118.0
594,129.0
595,127.0
596,130.0
597,164.0
598,179.0
599,163.0
600,189.0
601,168.0
602,198.0
603,210.0
604,186.0
605,217.0
606,206.0
607,290.0
608,198.0
609,171.0
610,152.0
611,169.0
612,184.0
613,219.0
614,294.0
615,176.0
616,220.0
617,372.0
618,278.0
619,331.0
620,200.0
621,500.0
622,442.0
623,174.0
624,500.0
625,500.0
626,500.0
627,500.0
628,500.0
629,500.0
630,500.0
631,500.0
632,500.0
633,500.0
634,374.0
635,500.0
636,496.0
637,500.0
638,224.0
639,500.0
640,500.0
641,500.0
642,500.0
643,135.0
644,492.0
645,215.0
646,500.0
647,500.0
648,500.0
649,500.0
650,500.0
651,500.0
652,242.0
653,500.0
654,500.0
655,500.0
656,500.0
657,371.0
658,500.0
659,500.0
660,500.0
661,240.0
662,327.0
663,236.0
664,174.0
665,254.0
666,192.0
667,184.0
668,290.0
669,313.0
670,236.0
671,500.0
672,334.0
673,236.0
674,500.0
675,500.0
676,500.0
677,500.0
678,500.0
679,500.0
680,500.0
681,500.0
682,500.0
683,500.0
684,500.0
685,500.0
686,500.0
687,500.0
688,500.0
689,500.0
690,500.0
691,500.0
692,500.0
693,500.0
694,500.0
695,500.0
696,500.0
697,500.0
698,500.0
699,500.0
700,423.0
701,500.0
702,500.0
703,500.0
704,500.0
705,500.0
706,500.0
707,500.0
708,500.0
709,500.0
710,500.0
711,39.0
712,500.0
713,500.0
714,500.0
715,500.0
716,500.0
717,289.0
718,500.0
719,276.0
720,500.0
721,500.0
722,500.0
723,500.0
724,484.0
725,377.0
726,500.0
727,500.0
728,500.0
729,500.0
730,500.0
731,500.0
732,500.0
733,500.0
734,500.0
735,500.0
736,500.0
737,500.0
