Episode,Return
1,-200.0
2,-200.0
3,-200.0
4,-200.0
5,-200.0
6,-200.0
7,-200.0
8,-200.0
9,-200.0
10,-200.0
11,-200.0
12,-200.0
13,-200.0
14,-200.0
15,-200.0
16,-200.0
17,-200.0
18,-200.0
19,-200.0
20,-200.0
21,-200.0
22,-200.0
23,-200.0
24,-200.0
25,-200.0
26,-200.0
27,-200.0
28,-200.0
29,-200.0
30,-200.0
31,-200.0
32,-200.0
33,-200.0
34,-200.0
35,-200.0
36,-200.0
37,-200.0
38,-200.0
39,-200.0
40,-200.0
41,-200.0
42,-200.0
43,-200.0
44,-200.0
45,-200.0
46,-200.0
47,-200.0
48,-200.0
49,-200.0
50,-200.0
51,-200.0
52,-200.0
53,-200.0
54,-200.0
55,-200.0
56,-200.0
57,-200.0
58,-200.0
59,-200.0
60,-200.0
61,-200.0
62,-200.0
63,-200.0
64,-200.0
65,-200.0
66,-200.0
67,-200.0
68,-200.0
69,-200.0
70,-200.0
71,-200.0
72,-200.0
73,-200.0
74,-200.0
75,-200.0
76,-200.0
77,-200.0
78,-200.0
79,-200.0
80,-200.0
81,-200.0
82,-200.0
83,-200.0
84,-200.0
85,-200.0
86,-200.0
87,-200.0
88,-200.0
89,-200.0
90,-200.0
91,-200.0
92,-200.0
93,-200.0
94,-200.0
95,-200.0
96,-200.0
97,-200.0
98,-200.0
99,-200.0
100,-200.0
101,-200.0
102,-200.0
103,-200.0
104,-200.0
105,-200.0
106,-200.0
107,-200.0
108,-200.0
109,-200.0
110,-200.0
111,-200.0
112,-200.0
113,-200.0
114,-200.0
115,-200.0
116,-200.0
117,-200.0
118,-200.0
119,-200.0
120,-200.0
121,-200.0
122,-200.0
123,-200.0
124,-200.0
125,-200.0
126,-200.0
127,-200.0
128,-200.0
129,-200.0
130,-200.0
131,-200.0
132,-200.0
133,-200.0
134,-200.0
135,-200.0
136,-200.0
137,-200.0
138,-200.0
139,-200.0
140,-200.0
141,-200.0
142,-200.0
143,-200.0
144,-200.0
145,-200.0
146,-200.0
147,-200.0
148,-200.0
149,-200.0
150,-200.0
151,-200.0
152,-200.0
153,-200.0
154,-200.0
155,-200.0
156,-200.0
157,-200.0
158,-200.0
159,-200.0
160,-200.0
161,-200.0
162,-200.0
163,-200.0
164,-200.0
165,-200.0
166,-200.0
167,-200.0
168,-200.0
169,-200.0
170,-200.0
171,-200.0
172,-200.0
173,-200.0
174,-200.0
175,-200.0
176,-200.0
177,-200.0
178,-200.0
179,-200.0
180,-200.0
181,-200.0
182,-200.0
183,-200.0
184,-200.0
185,-200.0
186,-200.0
187,-200.0
188,-200.0
189,-200.0
190,-189.0
191,-200.0
192,-200.0
193,-200.0
194,-200.0
195,-200.0
196,-200.0
197,-182.0
198,-187.0
199,-200.0
200,-200.0
201,-200.0
202,-199.0
203,-200.0
204,-200.0
205,-200.0
206,-200.0
207,-200.0
208,-200.0
209,-183.0
210,-200.0
211,-200.0
212,-200.0
213,-168.0
214,-200.0
215,-165.0
216,-200.0
217,-200.0
218,-200.0
219,-175.0
220,-200.0
221,-181.0
222,-175.0
223,-200.0
224,-200.0
225,-200.0
226,-200.0
227,-200.0
228,-165.0
229,-129.0
230,-200.0
231,-200.0
232,-200.0
233,-169.0
234,-177.0
235,-122.0
236,-152.0
237,-200.0
238,-200.0
239,-179.0
240,-168.0
241,-200.0
242,-164.0
243,-158.0
244,-150.0
245,-151.0
246,-135.0
247,-182.0
248,-158.0
249,-154.0
250,-154.0
251,-144.0
252,-150.0
253,-200.0
254,-138.0
255,-167.0
256,-163.0
257,-189.0
258,-136.0
259,-168.0
260,-200.0
261,-142.0
262,-200.0
263,-138.0
264,-200.0
265,-138.0
266,-114.0
267,-170.0
268,-176.0
269,-121.0
270,-164.0
271,-199.0
272,-143.0
273,-200.0
274,-192.0
275,-175.0
276,-175.0
277,-174.0
278,-200.0
279,-175.0
280,-111.0
281,-157.0
282,-117.0
283,-165.0
284,-154.0
285,-97.0
286,-147.0
287,-134.0
288,-110.0
289,-106.0
290,-142.0
291,-200.0
292,-126.0
293,-91.0
294,-140.0
295,-115.0
296,-171.0
297,-147.0
298,-142.0
299,-143.0
300,-109.0
301,-143.0
302,-200.0
303,-142.0
304,-142.0
305,-135.0
306,-148.0
307,-137.0
308,-160.0
309,-146.0
310,-134.0
311,-135.0
312,-142.0
313,-117.0
314,-149.0
315,-149.0
316,-123.0
317,-152.0
318,-90.0
319,-161.0
320,-146.0
321,-122.0
322,-150.0
323,-139.0
324,-119.0
325,-131.0
326,-105.0
327,-200.0
328,-172.0
329,-117.0
330,-185.0
331,-89.0
332,-183.0
333,-145.0
334,-133.0
335,-118.0
336,-164.0
337,-165.0
338,-168.0
339,-144.0
340,-112.0
341,-142.0
342,-129.0
343,-163.0
344,-157.0
345,-133.0
346,-144.0
347,-135.0
348,-142.0
349,-172.0
350,-117.0
351,-152.0
352,-166.0
353,-145.0
354,-146.0
355,-140.0
356,-155.0
357,-178.0
358,-162.0
359,-147.0
360,-170.0
361,-165.0
362,-200.0
363,-164.0
364,-173.0
365,-159.0
366,-118.0
367,-143.0
368,-137.0
369,-176.0
370,-200.0
371,-200.0
372,-154.0
373,-161.0
374,-158.0
375,-159.0
376,-165.0
377,-173.0
378,-106.0
379,-200.0
380,-158.0
381,-150.0
382,-200.0
383,-162.0
384,-200.0
385,-186.0
386,-187.0
387,-94.0
388,-200.0
389,-142.0
390,-157.0
391,-186.0
392,-141.0
393,-200.0
394,-200.0
395,-125.0
396,-147.0
397,-200.0
398,-200.0
399,-200.0
400,-200.0
401,-192.0
402,-200.0
403,-160.0
404,-192.0
405,-154.0
406,-186.0
407,-154.0
408,-145.0
409,-200.0
410,-200.0
411,-159.0
412,-140.0
413,-118.0
414,-200.0
415,-157.0
416,-200.0
417,-146.0
418,-200.0
419,-173.0
420,-143.0
421,-200.0
422,-200.0
423,-152.0
424,-178.0
425,-112.0
426,-163.0
427,-175.0
428,-200.0
