Episode,Reward
0,45.0
1,20.0
2,15.0
3,24.0
4,23.0
5,17.0
6,15.0
7,79.0
8,35.0
9,25.0
10,21.0
11,24.0
12,10.0
13,21.0
14,27.0
15,29.0
16,33.0
17,27.0
18,31.0
19,21.0
20,31.0
21,33.0
22,15.0
23,54.0
24,18.0
25,27.0
26,31.0
27,28.0
28,88.0
29,25.0
30,68.0
31,86.0
32,56.0
33,133.0
34,63.0
35,71.0
36,61.0
37,131.0
38,17.0
39,33.0
40,103.0
41,114.0
42,107.0
43,40.0
44,147.0
45,23.0
46,33.0
47,128.0
48,29.0
49,33.0
50,44.0
51,49.0
52,20.0
53,29.0
54,35.0
55,26.0
56,32.0
57,36.0
58,32.0
59,27.0
60,115.0
61,88.0
62,78.0
63,35.0
64,33.0
65,127.0
66,48.0
67,21.0
68,33.0
69,179.0
70,90.0
71,71.0
72,48.0
73,118.0
74,273.0
75,62.0
76,48.0
77,57.0
78,55.0
79,76.0
80,36.0
81,88.0
82,42.0
83,33.0
84,109.0
85,30.0
86,23.0
87,29.0
88,44.0
89,27.0
90,35.0
91,17.0
92,32.0
93,123.0
94,16.0
95,69.0
96,36.0
97,38.0
98,32.0
99,153.0
100,129.0
101,26.0
102,84.0
103,125.0
104,132.0
105,30.0
106,46.0
107,58.0
108,286.0
109,16.0
110,45.0
111,20.0
112,16.0
113,21.0
114,32.0
115,18.0
116,129.0
117,27.0
118,45.0
119,87.0
120,80.0
121,53.0
122,138.0
123,275.0
124,130.0
125,81.0
126,118.0
127,48.0
128,102.0
129,13.0
130,36.0
131,44.0
132,73.0
133,58.0
134,27.0
135,48.0
136,38.0
137,81.0
138,56.0
139,33.0
140,48.0
141,181.0
142,138.0
143,57.0
144,16.0
145,157.0
146,183.0
147,23.0
148,61.0
149,38.0
150,109.0
151,139.0
152,66.0
153,82.0
154,132.0
155,89.0
156,60.0
157,86.0
158,149.0
159,42.0
160,118.0
161,21.0
162,63.0
163,212.0
164,74.0
165,251.0
166,212.0
167,140.0
168,58.0
169,172.0
170,195.0
171,82.0
172,152.0
173,38.0
174,209.0
175,114.0
176,92.0
177,37.0
178,23.0
179,35.0
180,138.0
181,100.0
182,129.0
183,128.0
184,197.0
185,41.0
186,150.0
187,107.0
188,39.0
189,17.0
190,81.0
