Episode,Reward,Avg_Reward_Last_100
1,-1371.9943682598227,-1371.9943682598227
2,-1738.934929692456,-1555.4646489761394
3,-1193.8589809710886,-1434.929426307789
4,-1614.0949208967495,-1479.7207999550292
5,-1802.6665247959227,-1544.309944923208
6,-1747.6551531858884,-1578.2008129669878
7,-1253.1826894411704,-1531.7696524632995
8,-1665.4862181902033,-1548.4842231791627
9,-1512.676089506925,-1544.5055416600253
10,-1239.279331225755,-1513.9829206165982
11,-1185.9699229759465,-1484.1635571947206
12,-1167.8047862184194,-1457.8003262800291
13,-882.6000041415907,-1413.5541476539952
14,-1263.9560949714378,-1402.868572462384
15,-989.4214807937029,-1375.3054330178052
16,-1023.8977457874871,-1353.3424525659107
17,-1013.4984291006937,-1333.351627656192
18,-1054.429180541168,-1317.855936149802
19,-1181.2167000419383,-1310.6643974072826
20,-1176.093317907302,-1303.9358434322837
21,-1344.9731053726723,-1305.8899987627785
22,-986.1518749554266,-1291.3564476806262
23,-908.7679894515792,-1274.7221668880588
24,-291.0458491729368,-1233.7356536499285
25,-255.1209338240169,-1194.591064856892
26,-362.99434248539154,-1162.6065755349114
27,-120.05767119630326,-1123.993653152
28,-245.2425377977894,-1092.6096847464923
29,-3.861575112004784,-1055.066646483234
30,-390.81990646513606,-1032.9250884826308
31,-261.0457882593125,-1008.0257562173624
32,-123.3611934892701,-980.3799886321095
33,-388.75622395634707,-962.4519957631471
34,-655.6598683238924,-953.4286978972866
35,-131.3491281509278,-929.9407101902477
36,-434.3331944701799,-916.1738347535793
37,-368.5245632469155,-901.372503091237
38,-121.81886611648244,-880.8579336971645
39,-253.5034823940032,-864.7719221252885
40,-252.65680296978078,-849.4690441464008
41,-126.75927430879435,-831.841976589386
42,-129.16877159238183,-815.1116621846955
43,-378.1289914413639,-804.9492744929902
44,-123.82686123948024,-789.4692196463195
45,-243.95695674691777,-777.3467249152217
46,-0.5875506103309734,-760.4606559085936
47,-124.8078805501598,-746.9361287733078
48,-249.1736242495716,-736.56607659573
49,-240.76245244889236,-726.4476352866109
50,-117.70379091268818,-714.2727583991324
51,-241.29791874114778,-704.9987419352503
52,-389.1731214198072,-698.9251723099534
53,-568.5446858240309,-696.4651631309738
54,-244.41269299341664,-688.0938210913893
55,-129.682550042661,-677.9408888905034
56,-125.49790931682807,-668.0758356838305
57,-246.25082983763443,-660.6753969847745
58,-123.3502125473292,-651.4111696668875
59,-529.3949283258354,-649.343097779751
60,-373.4900961869814,-644.7455477532047
61,-507.0596586298802,-642.4884020298715
62,-120.11884972505189,-634.0630866701165
63,-0.9962260132559483,-624.0144063422297
64,-2.5122414457267457,-614.3034350157219
65,-244.94972591975076,-608.6210702603993
66,-123.53073385334707,-601.2712166784743
67,-124.76386280372716,-594.1591666206422
68,-118.96968786399597,-587.1710860506914
69,-353.0540111294662,-583.7780849648766
70,-127.39102788323295,-577.2582698637103
71,-1.4770785960040773,-569.1486756205032
72,-373.68718929298007,-566.4339327548431
73,-0.7659559851970146,-558.6850563607384
74,-360.3993946920514,-556.0055203922426
75,-123.49068309452824,-550.2386558949397
76,-121.52391007315654,-544.5976723972847
77,-386.87683232945574,-542.5493497990012
78,-339.8428779972658,-539.9505488784662
79,-246.68379413718012,-536.2383114766777
80,-326.8438355456875,-533.6208805275404
81,-128.0885122178803,-528.614308079273
82,-264.7712684060398,-525.3967100344775
83,-271.84718924688906,-522.3418965310126
84,-248.57155150192546,-519.0827257568568
85,-236.83336499345432,-515.7621450419932
86,-401.9960225926015,-514.4392831530469
87,-124.8905236408202,-509.96171120463043
88,-117.27445181928049,-505.49935598434223
89,-234.16693682207656,-502.4506771173505
90,-226.8570623374788,-499.38852584201857
91,-0.8593308989504999,-493.9101830404464
92,-122.32848400208668,-489.87125152915985
93,-121.88456362711345,-485.91440542268623
94,-118.683022209257,-482.00768857999014
95,-125.04372146345474,-478.25017313665813
96,-237.09629595198774,-475.73815358265136
97,-371.3659804345515,-474.6621517976194
98,-116.5375435331957,-471.0078190602273
99,-114.46610910554399,-467.40638764654364
100,-121.10650040308835,-463.9433887741091
101,-239.81449881634924,-452.6215900796744
102,-0.7209199669998549,-435.2394499824197
103,-122.50902251384092,-424.52595039784734
104,-236.91615867906788,-410.7541627756704
105,-270.16628301087,-395.4291603578199
106,-121.1062772982914,-379.1636715989439
107,-4.855612841544109,-366.6804008329477
108,-303.58516816172397,-353.0613903326628
109,-120.03258616769092,-339.13495529927053
110,-237.6664255090814,-329.1188262421038
111,-372.9303525161274,-320.9884305375056
112,-120.56991680257848,-310.5160818433472
113,-116.34202286774574,-302.8535020306088
114,-114.870813336824,-291.36264921426266
115,-0.5770838701079688,-281.47420524502667
116,-244.19328308377786,-273.6771606179896
117,-119.51972889340712,-264.73737361591674
118,-122.1263274359893,-255.41434508486495
119,-123.33690707649207,-244.83554715521052
120,-2.0773979475128055,-233.09538795561258
121,-123.16280752441622,-220.87728497713005
122,-225.01227566654688,-213.26588898424126
123,-121.83590383729978,-205.39656812809844
124,-123.67286873102586,-203.72283832367933
125,-115.73747083760172,-202.32900369381517
126,-245.33809283818684,-201.15244119734314
127,-121.96252200155833,-201.17148970539571
128,-120.22383857449267,-199.92130271316273
