Episode,Reward,Avg_Reward_Last_10
1,-1310.2316627580876,-1310.2316627580876
2,-1313.9544587342452,-1312.0930607461664
3,-1692.8474625512654,-1439.0111946811994
4,-966.6877718123714,-1320.9303389639924
5,-1613.4709668521396,-1379.438464541622
6,-881.1679746645284,-1296.3933828954398
7,-899.4973297224923,-1239.6939467278758
8,-1039.777439750599,-1214.704383355716
9,-859.3228456376987,-1175.2175458314916
10,-1276.6585296209548,-1185.361644210438
11,-1190.8719595494028,-1173.4256738895697
12,-1674.599201494587,-1209.4901481656038
13,-1308.066426607945,-1171.012044571272
14,-994.0386210176812,-1173.7471294918028
15,-1310.0895963106857,-1143.4089924376574
16,-1120.1908312936969,-1167.3112781005743
17,-861.1537221200314,-1163.476917340328
18,-955.4628022083142,-1155.0454535860995
19,-1443.1624362291366,-1213.4294126452437
20,-1290.056292925539,-1214.769188975702
21,-956.7779334355437,-1191.359786364316
22,-1157.8521659051378,-1139.6850828053712
23,-1273.6624231849516,-1136.244682463072
24,-964.4918895868572,-1133.2900093199894
25,-1175.7889993429783,-1119.8599496232187
26,-1169.5702172181784,-1124.7978882156667
27,-958.8728261633406,-1134.569798619998
28,-788.141407907284,-1117.8376591898946
29,-1115.0805911284433,-1085.0294746798252
30,-927.474742737464,-1048.771319661018
31,-524.040239294711,-1005.4975502469348
32,-262.4993157651743,-915.9622652329384
33,-135.72010734176504,-802.1680336486196
34,-15.702880964232715,-707.2891327863572
35,-245.8969190282428,-614.2999247548836
36,-247.51692445363955,-522.0945954784296
37,-249.5612024819667,-451.1634331102922
38,-236.3791915739575,-395.9872114769597
39,-250.06129588390982,-309.48528195250634
40,-138.02374892936848,-230.5401825716968
41,-131.80350801112266,-191.31650944333796
42,-127.95514041291621,-177.86209190811218
43,-1820.7023326987983,-346.36031444381547
44,-132.3218486283868,-358.02221121023086
45,-250.09936737981414,-358.44245604538804
46,-255.24021402321432,-359.2147850023455
47,-129.75550275096276,-347.2342150292451
48,-120.93550458901986,-335.68984633075127
49,-122.52178888890163,-322.93589563125045
50,-258.7145064211004,-335.0049713804236
51,-344.65971743432317,-356.29059232274375
52,-121.54029074194557,-355.64910735564666
53,-118.09459183463592,-185.3883332692305
54,-128.12643187469226,-184.968791593861
55,-254.03743997752358,-185.36259885363194
56,-127.21497130458934,-172.56007458176944
57,-121.13155598563444,-171.6976799052366
58,-126.69140671502852,-172.27327011783748
59,-121.40446440817678,-172.161537669765
60,-7.071173537818164,-146.99720438143677
61,-130.78546050481683,-125.60977868848616
62,-247.14048056976716,-138.1697976712683
63,-1830.5348637871816,-309.4138248665229
64,-125.9536766326861,-309.19654934232227
65,-245.61753297999275,-308.35455864256915
66,-125.8841623452943,-308.22147774663966
67,-128.36098366946047,-308.9444205150223
68,-3.025423644258766,-296.5778222079453
69,-1664.3878847800809,-450.8761642451357
70,-120.22228860820725,-462.19127575217465
71,-0.5439880442490633,-449.1671285061178
72,-1833.4783492569948,-607.8009153748405
73,-1.0182608244168354,-424.84925507856417
74,-121.48097491415592,-424.4019849067111
75,-125.64169545374268,-412.4044011540861
76,-114.65672650777263,-411.28165757033395
77,-241.90566465936655,-422.63612566932454
78,-233.40131815899753,-445.67371512079836
79,-121.24839871134672,-291.359766513925
80,-117.49739233148205,-291.0872768862524
81,-239.26246916273752,-314.95912499810134
82,-117.36219699936206,-143.34750977233804
83,-1.6198977070313991,-143.4076734605995
84,-115.77000905695003,-142.83657687487892
85,-123.11235415399793,-142.58364274490447
86,-120.37524097653484,-143.15549419178066
87,-122.28398184813547,-131.19332591065753
88,-115.76356609073541,-119.42955070383134
89,-2.0484514294540643,-107.50955597564207
90,-232.62566140781166,-119.02238288327503
91,-229.06918084134267,-118.00305405113556
92,-1.091485414087625,-106.3759828926081
93,-118.73148188209876,-118.08714131011484
94,-124.52527702478136,-118.962668106898
95,-121.34865505322097,-118.78629819682028
96,-384.6470667962965,-145.21348077879645
97,-241.18415025721004,-157.10349761970392
98,-246.08760778682566,-170.13590178931295
99,-129.15501600354523,-182.84655824672203
100,-121.42081578257911,-171.72607368419878
