Episode,Reward
1,13.0
2,12.0
3,15.0
4,18.0
5,17.0
6,12.0
7,18.0
8,28.0
9,13.0
10,11.0
11,10.0
12,23.0
13,12.0
14,15.0
15,9.0
16,12.0
17,13.0
18,17.0
19,14.0
20,19.0
21,17.0
22,12.0
23,11.0
24,23.0
25,15.0
26,10.0
27,13.0
28,9.0
29,10.0
30,12.0
31,12.0
32,10.0
33,14.0
34,13.0
35,12.0
36,12.0
37,8.0
38,10.0
39,9.0
40,11.0
41,13.0
42,13.0
43,9.0
44,10.0
45,16.0
46,9.0
47,11.0
48,12.0
49,13.0
50,11.0
51,14.0
52,13.0
53,9.0
54,9.0
55,18.0
56,20.0
57,14.0
58,19.0
59,9.0
60,11.0
61,12.0
62,13.0
63,14.0
64,16.0
65,20.0
66,13.0
67,18.0
68,18.0
69,14.0
70,22.0
71,15.0
72,41.0
73,24.0
74,18.0
75,50.0
76,46.0
77,14.0
78,61.0
79,16.0
80,43.0
81,45.0
82,30.0
83,17.0
84,18.0
85,61.0
86,26.0
87,25.0
88,20.0
89,36.0
90,32.0
91,11.0
92,21.0
93,14.0
94,12.0
95,9.0
96,13.0
97,13.0
98,20.0
99,18.0
100,26.0
101,31.0
102,35.0
103,14.0
104,27.0
105,36.0
106,22.0
107,22.0
108,63.0
109,46.0
110,80.0
111,19.0
112,68.0
113,72.0
114,21.0
115,20.0
116,87.0
117,36.0
118,30.0
119,83.0
120,42.0
121,20.0
122,32.0
123,45.0
124,30.0
125,20.0
126,23.0
127,69.0
128,49.0
129,62.0
130,21.0
131,40.0
132,89.0
133,51.0
134,27.0
135,52.0
136,58.0
137,92.0
138,32.0
139,30.0
140,39.0
141,28.0
142,47.0
143,26.0
144,67.0
145,85.0
146,58.0
147,58.0
148,53.0
149,50.0
150,95.0
151,137.0
152,83.0
153,100.0
154,104.0
155,86.0
156,69.0
157,109.0
158,48.0
159,15.0
160,77.0
161,22.0
162,35.0
163,25.0
164,13.0
165,42.0
166,44.0
167,74.0
168,24.0
169,34.0
170,45.0
171,53.0
172,33.0
173,77.0
174,45.0
