Episode,Reward
1,13.0
2,12.0
3,15.0
4,18.0
5,17.0
6,12.0
7,18.0
8,28.0
9,13.0
10,11.0
11,10.0
12,23.0
13,12.0
14,15.0
15,9.0
16,12.0
17,13.0
18,17.0
19,14.0
20,19.0
21,18.0
22,15.0
23,21.0
24,15.0
25,15.0
26,15.0
27,12.0
28,11.0
29,19.0
30,11.0
31,14.0
32,17.0
33,15.0
34,9.0
35,11.0
36,12.0
37,20.0
38,11.0
39,9.0
40,10.0
41,12.0
42,16.0
43,14.0
44,21.0
45,19.0
46,19.0
47,17.0
48,19.0
49,50.0
50,17.0
51,17.0
52,17.0
53,69.0
54,34.0
55,93.0
56,21.0
57,20.0
58,36.0
59,47.0
60,26.0
61,50.0
62,19.0
63,50.0
64,41.0
65,13.0
66,18.0
67,19.0
68,33.0
69,28.0
70,32.0
71,42.0
72,31.0
73,33.0
74,52.0
75,64.0
76,26.0
77,25.0
78,57.0
79,41.0
80,106.0
81,36.0
82,21.0
83,102.0
84,81.0
85,18.0
86,16.0
87,15.0
88,27.0
89,23.0
90,33.0
91,39.0
92,37.0
93,25.0
94,75.0
95,53.0
96,49.0
97,30.0
98,14.0
99,37.0
100,18.0
101,43.0
102,38.0
103,84.0
104,104.0
105,23.0
106,36.0
107,56.0
108,23.0
109,33.0
110,19.0
111,78.0
112,40.0
113,47.0
114,26.0
115,41.0
116,76.0
117,61.0
118,62.0
119,57.0
120,37.0
121,28.0
122,15.0
123,16.0
124,12.0
125,18.0
126,13.0
127,18.0
128,16.0
129,27.0
130,22.0
131,31.0
132,56.0
133,38.0
134,83.0
135,175.0
136,122.0
137,93.0
138,79.0
139,47.0
140,48.0
141,31.0
142,37.0
143,30.0
144,112.0
145,44.0
146,75.0
147,68.0
148,131.0
149,149.0
150,97.0
151,42.0
152,90.0
153,71.0
154,30.0
155,150.0
156,33.0
157,76.0
158,48.0
159,109.0
160,119.0
161,84.0
162,27.0
163,24.0
164,50.0
165,11.0
166,18.0
167,22.0
168,19.0
169,11.0
170,29.0
171,22.0
172,19.0
173,10.0
174,26.0
