Episode,Reward
1,13.0
2,26.0
3,18.0
4,24.0
5,21.0
6,16.0
7,13.0
8,19.0
9,17.0
10,18.0
11,33.0
12,18.0
13,18.0
14,11.0
15,34.0
16,33.0
17,13.0
18,28.0
19,17.0
20,42.0
21,23.0
22,48.0
23,21.0
24,15.0
25,19.0
26,18.0
27,34.0
28,29.0
29,22.0
30,21.0
31,14.0
32,30.0
33,10.0
34,35.0
35,23.0
36,16.0
37,15.0
38,49.0
39,20.0
40,39.0
41,13.0
42,23.0
43,26.0
44,16.0
45,29.0
46,13.0
47,13.0
48,15.0
49,13.0
50,47.0
51,16.0
52,31.0
53,31.0
54,26.0
55,45.0
56,15.0
57,20.0
58,24.0
59,12.0
60,11.0
61,16.0
62,38.0
63,30.0
64,19.0
65,48.0
66,20.0
67,16.0
68,16.0
69,42.0
70,55.0
71,64.0
72,11.0
73,21.0
74,16.0
75,32.0
76,14.0
77,41.0
78,15.0
79,68.0
80,11.0
81,20.0
82,15.0
83,19.0
84,42.0
85,12.0
86,21.0
87,30.0
88,34.0
89,24.0
90,14.0
91,21.0
92,17.0
93,13.0
94,27.0
95,34.0
96,13.0
97,32.0
98,15.0
99,23.0
100,29.0
101,25.0
102,36.0
103,43.0
104,27.0
105,24.0
106,16.0
107,41.0
108,15.0
109,44.0
110,24.0
111,41.0
112,37.0
113,36.0
114,42.0
115,56.0
116,60.0
117,38.0
118,41.0
119,23.0
120,18.0
121,21.0
122,58.0
123,57.0
124,70.0
125,18.0
126,19.0
127,27.0
128,36.0
129,53.0
130,28.0
131,32.0
132,28.0
133,16.0
134,50.0
135,16.0
136,33.0
137,25.0
138,61.0
139,24.0
140,55.0
141,31.0
142,120.0
143,20.0
144,18.0
145,80.0
146,20.0
147,72.0
148,34.0
149,34.0
150,57.0
151,22.0
152,85.0
153,128.0
154,33.0
155,39.0
156,53.0
157,97.0
158,19.0
159,52.0
160,43.0
161,75.0
162,13.0
163,79.0
164,41.0
165,44.0
166,25.0
167,76.0
168,59.0
169,34.0
170,48.0
171,59.0
172,27.0
173,36.0
174,22.0
175,18.0
176,22.0
177,18.0
178,128.0
179,16.0
180,20.0
181,40.0
182,129.0
183,13.0
184,47.0
185,13.0
186,49.0
187,26.0
188,46.0
189,31.0
190,42.0
191,44.0
192,43.0
193,32.0
194,42.0
195,41.0
196,42.0
197,73.0
198,35.0
199,69.0
200,14.0
201,39.0
202,19.0
203,15.0
204,142.0
205,62.0
206,70.0
207,38.0
208,66.0
209,54.0
210,57.0
211,23.0
212,120.0
213,26.0
214,68.0
215,79.0
216,48.0
217,54.0
218,104.0
219,98.0
220,40.0
221,16.0
222,37.0
223,19.0
224,68.0
225,61.0
226,40.0
227,42.0
228,54.0
229,64.0
230,108.0
231,61.0
232,26.0
233,40.0
234,18.0
235,49.0
236,27.0
237,33.0
238,43.0
239,45.0
240,37.0
241,127.0
242,96.0
243,130.0
244,104.0
245,33.0
246,50.0
247,14.0
248,29.0
249,27.0
250,35.0
251,18.0
252,22.0
253,24.0
254,26.0
255,22.0
256,30.0
257,97.0
258,39.0
259,76.0
260,83.0
261,62.0
262,46.0
263,53.0
264,45.0
265,37.0
266,86.0
267,83.0
268,21.0
269,73.0
270,66.0
271,91.0
272,44.0
273,50.0
274,17.0
275,54.0
276,65.0
277,87.0
278,17.0
279,23.0
280,27.0
281,44.0
282,52.0
283,28.0
284,53.0
285,21.0
286,41.0
287,24.0
288,72.0
289,49.0
290,69.0
291,79.0
292,25.0
293,38.0
294,108.0
295,33.0
296,70.0
297,36.0
298,14.0
299,125.0
300,92.0
301,45.0
302,33.0
303,47.0
304,28.0
305,92.0
306,43.0
307,103.0
308,50.0
309,76.0
310,19.0
311,162.0
312,134.0
313,54.0
314,34.0
315,105.0
316,73.0
317,74.0
318,46.0
319,127.0
320,123.0
321,31.0
322,39.0
323,18.0
324,45.0
325,53.0
326,33.0
327,39.0
328,18.0
329,24.0
330,75.0
331,85.0
332,30.0
333,67.0
334,35.0
335,34.0
336,45.0
337,28.0
338,84.0
339,18.0
340,23.0
341,44.0
342,31.0
343,52.0
344,85.0
345,18.0
346,20.0
347,55.0
348,69.0
349,45.0
350,31.0
351,55.0
352,16.0
353,19.0
354,41.0
355,28.0
356,30.0
357,40.0
358,51.0
359,17.0
360,14.0
361,20.0
362,25.0
363,29.0
364,35.0
365,17.0
366,64.0
367,103.0
368,69.0
369,39.0
370,33.0
371,21.0
372,39.0
373,103.0
374,47.0
375,156.0
376,88.0
377,38.0
378,20.0
379,73.0
380,79.0
381,62.0
382,15.0
383,55.0
384,158.0
385,18.0
386,113.0
387,37.0
388,67.0
389,74.0
390,22.0
391,141.0
392,105.0
393,32.0
