Episode,Reward
1,-36.9717700970563
2,-36.83017031304644
3,-37.5866048006493
4,-36.41332944692753
5,-39.77394303894929
6,-37.661072313350715
7,-36.67569388896678
8,-33.86855096917676
9,-36.18226487452018
10,-33.51961889175619
11,-37.31238574419263
12,-35.530911672589895
13,-34.344533136282024
14,-34.60100529022817
15,-37.17817918193809
16,-34.81415744724522
17,-36.308561653454504
18,-35.53116750012008
19,-37.54882850309305
20,-34.94569756416952
21,-35.37495307616343
22,-37.80765599340795
23,-36.69855658558621
24,-35.398760839803096
25,-37.07948283116321
26,-36.67413906548159
27,-38.3635775109952
28,-38.97883684879577
29,-34.603331087099754
30,-35.453687905836084
31,-36.61391595876247
32,-36.74548111827023
33,-35.80737245045477
34,-33.82265107694894
35,-34.170975898249324
36,-38.34861475950756
37,-38.391559241147085
38,-36.996183646790215
39,-35.06189835715765
40,-37.67747438852728
41,-36.31411958186094
42,-38.504159059342335
43,-36.908981937572094
44,-34.41656728733592
45,-38.140974656396466
46,-34.89533914180284
47,-34.948734757314746
48,-36.025368472940976
49,-35.807497129207135
50,-37.8786046761355
51,-39.19716598848763
52,-35.41036845383865
53,-37.841592582668454
54,60.29533914752019
55,-35.721571029595644
56,-38.38722183345364
57,-37.52224190441111
58,-39.19631873279556
59,62.0021181406052
60,-38.04468813622022
61,-36.24388340477089
62,-39.77891601168816
63,63.18291076124819
64,-37.00027808411265
65,-36.07514081615612
66,-38.353671983374525
67,-37.852229550731245
68,-36.06394581685986
69,-36.766225148526004
70,-39.178839570240946
71,-38.87765373367708
72,-38.255494653398884
73,-39.312731398188156
74,-38.8545586436258
75,-41.871594272839125
76,-37.0157155035978
77,-37.929526151484616
78,-38.3134494538426
79,-37.979686097629894
80,-37.55218589171748
81,-38.753940216018286
82,-37.28572796765902
83,-34.94377908037606
84,-34.99585935989157
85,-35.71451842519054
86,-36.033072308188785
87,-38.16389159812431
88,-38.34058320576766
89,-38.1491816068385
90,-36.88725411857824
91,-34.34183489414015
92,-36.37234559857445
93,-35.360328379994876
94,-36.626211989949674
95,-36.0063576802733
96,-36.89575200107037
97,-37.711969181887596
98,-36.29114301970241
99,-36.073563714003726
100,-30.453590059080536
101,-30.310497824715014
102,-31.516543976181527
103,-29.814961092312256
104,-31.74014820880184
105,-28.518855433384445
106,-29.926961247395475
107,-31.416304409775275
108,-31.888710851380065
109,-32.72261075939692
110,-29.774229343479277
111,-31.59047120104207
112,-33.29896118863854
113,-32.49604896009306
114,-32.32118681780589
115,-33.71351320858322
116,-30.164971831837107
117,-31.25317261104345
118,-30.4858557722443
119,-30.868513155884095
120,-31.920189888447336
121,-30.11166997485877
122,-32.09034472830273
123,-29.595937835494748
124,-30.438160207988652
125,-30.94032994801708
126,-30.065518729224824
127,-29.892270381821252
128,-32.17213205734339
129,-32.73717507309906
130,-30.33389641319271
131,-31.075578990483635
132,-30.767858289989515
133,-31.391395177466624
134,-30.203584576555755
135,-30.964171944339537
136,-29.13349657067909
137,-31.396757643820134
138,-30.79345551752655
139,-29.265504806199537
140,-30.094886741016037
141,-30.10691716698222
142,-31.793643125436883
143,-32.15072374529807
144,-31.909292285167197
145,-29.20746796695831
146,-30.023103106817725
