Episode,Reward
1,-36.9717700970563
2,-36.994857936292
3,-37.571654215121654
4,-36.403828357194826
5,-39.38410282190606
6,-37.48618006295039
7,-36.640956486824514
8,-34.1483175069557
9,-36.41972224558185
10,-33.65705017532126
11,-37.1027874123397
12,-35.454859995222904
13,-33.98370549096334
14,-35.21567562823396
15,-37.57947858991237
16,-34.96414829274299
17,-36.59561894235646
18,-35.518860633955484
19,-37.812567951447335
20,-35.34070248220198
21,-36.073375821722905
22,-38.118811405792336
23,-38.79178504988608
24,-35.34985889882062
25,-37.042745017855125
26,-36.56641969618147
27,-38.182500751197296
28,-39.18026259411234
29,-34.9939361858505
30,-35.897375552489684
31,-35.94694796897351
32,-36.54763966142585
33,-35.96651518945796
34,-33.21972826712566
35,-34.224631137463255
36,-37.78050169029206
37,-38.26222881047145
38,-37.037348226556595
39,-34.91054682001898
40,-37.29208084890739
41,-35.78889954940988
42,-38.10135052133913
43,-36.634331162852845
44,-34.36665060577186
45,-37.933365129104814
46,-34.953971753184334
47,-34.49150510441076
48,-35.975595448553996
49,-35.54243473747204
50,-36.17780949862944
51,-39.69717979722951
52,-35.04603380200921
53,-36.076974914934205
54,-37.71242852915667
55,-34.90316593494785
56,-38.20670432377304
57,-36.04774559670985
58,-37.61630742004134
59,-34.75306710913308
60,-35.94072776362573
61,-35.75840355314362
62,-38.32739052853882
63,-36.48773275519783
64,-34.46921419646736
65,-35.98288445270471
66,-36.89520265183391
67,-36.631774264580514
68,-34.740095876860856
69,-37.2757766652771
70,-37.31367125731287
71,-37.89016992467778
72,-35.62991024668174
73,-35.28155706393584
74,-37.79146024490545
75,-38.75812341950947
76,-37.006313921479936
77,-36.13060184687052
78,-38.46759275961048
79,-37.425781431670465
80,-36.80439078879356
81,-37.30132644992263
82,-37.27379647846379
83,-34.15621885242519
84,-35.638291230840466
85,-35.482341854799685
86,-35.44928857276001
87,-39.43743998969994
88,-38.17418245308137
89,-37.078333294459924
90,-36.715476311072464
91,-33.57608855348022
92,-36.559241662482044
93,-34.375680554076126
94,-36.144120405900935
95,-37.605449541697304
96,-35.7685965262336
97,-37.244420923884384
98,-36.484260299134924
99,-35.6958862717449
100,-29.367238282985216
101,-29.48255604725477
102,-32.28599179774029
103,-29.7906257885418
104,-31.7181239186044
105,-29.93092850589044
106,-29.424103721956666
107,-30.874774782179536
108,-32.477522747932134
109,-31.02079316337747
110,-29.948180445709284
111,-31.74156566548169
112,-31.500671171017945
113,-32.53515000670349
114,-31.301233995892705
