Episode,Reward
1,-36.9717700970563
2,-37.04293631386594
3,-37.602720064320685
4,-36.52101286617366
5,-39.478667241579814
6,-37.364242037658535
7,-36.58395694451958
8,-33.86424275327968
9,-36.08057030869634
10,-33.53065131758626
11,-37.56874647211749
12,-35.59866703243227
13,-33.65373015267814
14,-35.048888144342534
15,-37.702187322552334
16,-35.38429608173375
17,-36.36610469320556
18,-35.4167764545738
19,-37.734872205887974
20,-35.31804184907092
21,-35.563983610995685
22,-37.41941106555256
23,-37.25758855607383
24,-35.23537918368109
25,-36.98725286681945
26,-36.283907556018974
27,-38.25265340621789
28,-38.99170973603541
29,-34.44915115648862
30,-35.81072534895017
31,-35.882288425168376
32,-36.48532191275726
33,-35.40375704240877
34,-32.99596633240952
35,-34.28100690019646
36,-37.456168003827415
37,-38.45973022043015
38,-36.945115169259495
39,-35.03936582810147
40,-37.62412680407942
41,-35.69810577050562
42,-38.405614021313944
43,-36.596796970844
44,-34.32691764064281
45,-37.858219078159394
46,-34.8617409488995
47,-34.41603525256387
48,-35.56947454711425
49,-35.35680756852333
50,-35.79525031255156
51,-38.51786558703688
52,-35.232243178004545
53,-35.722712694172685
54,-37.82656999562899
55,-34.84041872533018
56,-37.667557210518865
57,-36.14297780351012
58,-37.461666913477586
59,-34.62941863441626
60,-35.831109463110906
61,-35.65200907134693
62,-38.305282523544584
63,-36.25129175784421
64,-34.41902910332464
65,-36.154087327259866
66,-36.494857971218934
67,-36.747972937349445
68,-34.62408568294526
69,-36.6421145193809
70,-37.11187489277288
71,-37.3630685935344
72,-35.54520602545366
73,-35.32825385699843
74,-38.02076885470415
75,-38.865173056204775
76,-37.2797672231664
77,-36.157868543392
78,-38.212326242712805
79,-37.31734013101061
80,-36.71738656553026
81,-37.33200546239426
82,-37.1769285581344
83,-34.16087396947183
84,-35.49790694488112
85,-35.43433437728242
86,-35.4763309524154
87,-39.35293527610237
88,-38.69154775536328
89,-37.426097055603854
90,-36.93456134900144
91,-33.91605794071589
92,-37.003173701492294
93,-34.603019650948255
94,-36.64740041456956
95,-37.87164611803661
96,-36.083831176733696
97,-37.262137903886554
98,-36.45673185054923
99,-35.64531493880077
