Episode,Reward
1,-36.9717700970563
2,-36.61915981467705
3,-37.73544060908389
4,-36.98161298852487
5,-41.253711271492826
6,-39.87167981421649
7,-40.99168957100367
8,-38.50096326465207
9,-39.44998566652099
10,-37.72789202045724
11,-43.28009924960496
12,-40.46870346401916
13,-39.58173001446849
14,-38.437062928608945
15,-39.97039774630135
16,-37.04576813694904
17,-39.11616627246313
18,-37.58162345148222
19,-38.67445077484543
20,-36.28855378989713
21,-36.54853681110803
22,-38.378261384773616
23,-38.565793123649925
24,-36.14754197009641
25,-38.86389192677296
26,-37.20867545877976
27,-38.795003349301865
28,-39.684052902944316
29,-34.97466935314624
30,-36.15441373501333
31,-36.10576947934906
32,-37.297350013019134
33,-37.460230191235595
34,-33.967277433500115
35,-35.18558946627892
36,-37.58066824250781
37,-38.17688937133516
38,-36.911029962359244
39,-34.90993928937314
40,-37.28687401949633
41,-35.65881668325052
42,-38.26712368773536
43,-36.548780326657294
44,-34.72955552888446
45,-38.2886794028773
46,-34.77187706879736
47,-34.22367274732008
48,-35.62085903265015
49,-35.5157978904753
50,-35.88088036528519
51,-38.54427749330833
52,-35.04039036463479
53,-35.8375434628243
54,-37.75189663274654
55,-35.19329040140381
56,-37.95998503260718
57,-37.06570466156135
58,-37.46331291776082
59,-34.84075728077598
60,-36.15108399655633
61,-35.827460824399196
62,-38.4730154696097
63,-36.32997017559969
64,-34.395719834554775
65,-36.1438706728171
66,-36.519282387181185
67,-36.42558917687147
68,-34.592607512840154
69,-36.6734322443411
70,-37.19062830075779
71,-37.30292495988281
72,-35.54547852289313
73,-35.39452013505511
74,-37.571733888862084
75,-38.803696543318864
76,-36.929112011444175
77,-36.19115790311612
78,-37.231483650392136
79,-37.34629922919671
80,-37.085017368767545
81,-38.165945522053995
82,-37.66236129316181
83,-34.294531517236415
84,-35.85018685839364
85,-35.75744143278273
86,-35.827670367757435
87,-39.52952744989209
88,-38.229005364016594
89,-37.070520634392246
90,-36.640014472141104
91,-33.59181443704242
92,-36.79851952536565
93,-34.89321997903997
94,-36.69378325395589
95,-37.91967520220639
96,-36.996536800385606
97,63.31639246491204
98,-37.43409072378507
99,-37.12219219842028
100,-30.24406318113906
101,-30.64703992363049
102,-32.58384505500901
103,-30.52004825473946
104,-31.66292764570424
105,-29.88586163204604
106,-29.720649812452013
107,-31.247871743235297
108,-32.694687286762985
109,-32.639818188901195
110,-29.887088925471467
111,-32.618898839813944
112,-32.09583726230393
113,-32.52573010074324
114,-31.48973421832867
115,-33.106205132033736
116,-29.41195860994197
117,-31.15046662538932
118,-30.603353040344203
119,-30.49151392409212
120,-31.235322321944427
121,-29.57539136121385
122,-31.449276546684708
123,-29.523046171270394
124,-30.643848587411917
125,-30.98701749556015
126,-29.886921640900724
127,-29.853577576504314
128,-32.68303656733928
129,-32.06731007573273
130,-30.501710162611385
131,-30.806141276238712
132,-30.66853008931874
133,-31.766720045094136
134,-30.386509172203542
